(uk) moreover	shikamo
(uk) narrow-minded thinking	kechinakangae
(uk) no	ie
(uk) no	iie
(uk) no	iiya
(uk) no	iya
(uk) none too soon (id)	choudoyoitokini
(uk) nonsense	hachamecha
(uk) otter	kawauso
(uk) page	peiji
(uk) parrot	oumu
(uk) playing hookey (vs)	zuruyasumi
(uk) please	douzo
(uk) please look at it (hon)	gorankudasai
(uk) pretty (an)	kirei
(uk) probable	arisou
(uk) quagmire	nukarumi
(uk) rare	mettaninai
(uk) red poppy	hinageshi
(uk) reel	kase
(uk) reindeer (ai:)	tonakai
(uk) rice cakes	omochi
(uk) rice cakes (mochi) with Kinako	abekawamochi
(uk) ripple	sazanami
(uk) rogue	gorotsuki
(uk) rubbish	gomi
(uk) scarecrow	kakashi
(uk) sea bass	suzuki
(uk) sea cucumber (gikun)	namako
(uk) see you tomorrow (id)	jaamataashita
(uk) sieve	zaru
(uk) sing	saezuru
(uk) sleigh	sori
(uk) sly	zurui
(uk) snail	katatsumuri
(uk) so (conj)	sokode
(uk) sometime	itsuka
(uk) sticky rice cake	mochi
(uk) stinginess	kechin
(uk) sturgeon	chouzame
(uk) supple (an)	shinayaka
