(AWS)	Afrikaanse Woordelys en Spelreëls
ambitious	ambisieus, ambisieuse
ambivalence	ambivalensie
ambivalent	ambivalent, ambivalente
ambulance	ambulans
ambulance service	ambulansdiens
amend	amendeer
amendment	amendement, amendering
amenorrhea	amenorree
america	amerika
America, United States of America, USA	Amerika
American	Amerikaans
American	Amerikaner
american (a)	amerikaans, amerikaanse
american (n)	amerikaner
American, US citizen	Amerikaner
americanisation	amerikanisasie
americanise, coka-colonise	amerikaniseer
americans	amerikaners
amethyst	ametis
amicable	amikaal, amikale
amino acid	aminosuur
amino acids	aminosure
ammunition	ammunisie
amnesia	amnesie
amnesties	amnesties, amnestieë
amnesty	amnestie
amoeba	amebe
amoebic dysentery	amebedisenterie
among, between	tussen
amontilado	amontillado
amontilado	mediumdroog sjerrie
amoral	amoreel, amorele
amorality	amoralisme, amoraliteit
amorous	amoreus, amoreuse, amoureus, amoureuse
amorphous	amorf, amorfe
amortisation	amortisasie
amortise	amortiseer
amortize, deaden, write off	afskryf
amount	bedrag
amount, number	aantal
amount, sum	bedrag
ampelography	ampelografie
ampere, ampère	ampère
ampersand	ampersand, en-teken (&)
amphibian (a)	amfibies, amfibiese
amphibian (n)	amfibie
amphibians	amfibieë
amphitheatre	amfiteater
amphora	amfora
amphoras	amforas, amfore
amplification	amplifikasie
amplitude	amplitude
amplitude-modulated	amplitudegemoduleerde
ampule	ampul
amputate	amputeer
amputation	amputasie
amusement	amusement
amusing	amusant, amusante
anabaptism	anabaptisme
anabaptist (a)	anabaptisties, anabaptistiese
anabaptist (n)	anabaptis
anabaptists	anabaptiste
anachronism	anachronisme
anaconda	anakonda
anaerobic	anaërobies
anaesthetic	anestesie
anagrams	anagramme
anal	anaal
anal	anale
analyse	analiseer
analyse	ontleed
analyses	analises
analyst	analis
analyst	ontleder
anarchism	anargisme
anarchist	anargis
anarchy	anargie
anathema	anatema
anathemise	anatematiseer
anatomy	anatomie
anchor chain	ankerketting, ankertou
anchor pole	kopendpaal, ankerpaal
anchor wire	ankerdraad
anchovy	ansjovis
and	en
andes mountain range	andesgebergte
androgenous	androgeen, androgien
androgyny	androginie
anecdote	anekdote
anemia	anemie
angel	engel
Anglican	anglikaan (s.nw) , anglikaans, anglikaanse (b.nw)
Anglican Church	Anglikaanse Kerk
Anglo-Saxon	Angel-Sakser
Anglo-Saxon	Angel-Saksies
anglo-saxon (a)	angel-saksies, angel-saksiese
Angola	Angola
animal, beast	dier
animation	animasie
aniseed	anys
annotation, note	kommentaar
announce	aankondig
announce, proclaim	afkondig
announcement	aankondiging
announcement, proclamation	afkondiging
announcements	aankondiginge, aankondigings
announcer (f)	aankondigster
announcer (m)	aankondiger
announcers	aankondigers
annual, yearly	jaarliks
anoint (v)	salf (ww)
anointing	salwing
anonymous	anonieme
answer	antwoord
answer	beantwoord
answer, reply, respond	antwoord
answerable	beantwoordbaar
antagonise	antagoniseer
antarctic	antarkties
Antarctic	Suidpool-
Antarctic Ocean	Suidelike Yssee
Antarctic, the Antarctic	Antarktika
antenna	antenne
antharcnose	swartroes
anthocyanin	antosianien
anthracnose	antraknose
anthrax	antraks
anthropoid	antropoïde
anthropology	antropologie
antichrist	antichris
Antilles	Antille
antilock brake	sluit(be)standrem
antilope	anteloop
antipathy	antipatie
antiquary	antikwaar
antique	antiek
antiques dealer	antiekhandelaar
antisemitic	anti-semities
anxious	bekommerd
any time, momentarily	enige tyd
anything, something	enigiets
anything, something	iets
anywhere, somewhere	êrens
apart, particular, separate, special	afsonderlik
apartment, flat	woonstel
ape-like	aapagtig, aapagtige
ape-man	aapmens
aphid	plantluis
aphorism	aforisme
aphrodisiac	afrodisiakum
Apocalypse	Openbaring
apocrypha	apokriewe
apostle	apostel
apostles	apostels
apparatus	apparaat
apparatus, device, set	toestel
appeal (n)	appél
appeal (v)	appelleer
appeal to, invoke	oproep
appear, appear to be, seem	skyn
appear, emerge, perform	verskyn
appear, look, cadaver, corpse, appear to be, seem	lyk
Appelation controlée	appelation controlée
appellation, name	naam
appendix	aanhangsel
appendix, codicil, rider	bylae
appetiser	aptytwekker
appetiser	aptytwekker, aptytwekkertjie
appetising	aptytlik
appetite	aptyt
applause	applous
apple blossoms	appelbloeisels
apple juice	appelsap
apple orchard	appelboord
apple pie	appelpastei
applicant	applikant
application	toepassing, applikasie (minder algemeen gebruik)
apply, practice	toepas
appointed place	afspraakplek
appointed time	afspraaktyd
appointment	afspraak
appointment book	afspraakboek
appointment, appointment to office	aanstelling
appreciate, like	hou van
appreciate, like	lief wees vir
appreciate, like	waardeer
appropriate, becoming, seemly, suitable	geskikt
appropriateness	toepaslikheid, gepastheid
apricot jam	appelkooskonfyt
April	April
april fool	aprilgek
april fool's joke	aprilgrap
APS selector	APS kieser
aptitude	aanleg
aptitude test	aanlegtoets
Apulia	Apulië
apératif wines	aperitiefwyne
apéritif	aptytwekker
aquamarine	akwamaryn
aquarelle	akwarel
aquatic	akwaties, akwatiese
aqueduct	akwaduk
Arab	Arabier
arabesque	arabesk
arabian	arabier(s.nw), arabies, arabiese (b.nw)
Arabian, Arabic	Arabies
Arabs	Arabiere
arbitrate	arbitreer
arbitration	arbitrasie
arcady, arcadia	arkadië
arch-enemy	aartsvyand
arch-priest	aartspriester
archaeology	argeologie
archaic	argaïes
archangel	aartsengel
archbishop	aartsbiskop
archbishopric	aartsbisdom
archdeacon	aartsdeken
archduchess	aartshertogin
archduke	aartshertog
archdukes	aartshertoë
arched cane	boogloot
archetype	argetipe
Archie	Archie (argiefstelsel)
archipelago	argipel
architect	argitek
architecture	argitektuur
archive	argief
