(AWS)	Afrikaanse Woordelys en Spelreëls
move	verhuis
move (v)	verskuif
move, stir, affect	aangry
move, transfer	verplaas
movement	beweging
mow down	afmaai
Mozambique	Mosambiek
mudflap	modderflap
mudflap	modderklap
mudflap	modderskerm
mulatto	kleurling
mulch	deklaag
multimedia	multimedia
multiple recipient	meervoudige ontvangers
multiple strategies	veelvuldige strategieë
munition, ammunition	ammunisie
murderer	moordenaar
muscadel	muskadel
Muscat	muskaat
Muscat d'alexandrie	hanepoot
Muscovite	Moskowiet
museum	museum
mushroom	sampioen
musical instrument	musiekinstrument
Muslim	Moslim
must (n)	mos
must (v)	moet
mutineer, rebel	rebel
mutli-user	veelvoudige gebruiker
myself	myself
myth	mite
nail	nael
nail-varnish	naelpolitoer
name server	naambediener
namely, viz.	naamlik
Namibia	Namibië
napkin	servette
narcotic	verdowingsmiddel
narrative, story, tale	storie
nasalising mark	nasaleringmerk (bv ñ)
nasty, ugly	lelik
Natal	Natal
national	nasionaal
nationality	nasionaliteit
natural sciences	natuurwetenskappe
natural wine	natuurlike wyn
naturally	van nature
nature	natuur
nature of	aard
nauseous	aardig
navigate	navigeer, rondsoek, snuffel
Ndebele	Ndebele
nearby	langsaan
nearer	nader
nearest, next	naaste
nearest, next, close, nearby	eerskomende
neat	skoon
necessary	nodig
neck	hals
neck	nek
need, require	nodig hê
needs (n.)	behoeftes
negative plate	negatiewe plaat
negative plate group	negatiewe plaatgroep
negative terminal	negatiewe terminaal
neglect (n), shoddy work	afskeepwerk
neglect (v)	afskeep
negotiation	bedinging
Negro	swarte
neighbor, neighbour	buurman
nephew	neef
nest of vipers	addergebroedsel
nested structure	boomstruktuur
net	net (internetwerk)
netiquette	netiket
netmask	netmasker
network	netwerk
networking	netwerkwerk
networking layer	netwerklaag
New South Wales	Nieu-Suid-Wallis
new testament	nuwe testament
new wine	jongwyn
New Year's Day	Nuwejaarsdag
New zealand	nieu-seeland
new, novel	nuut
newbie	nuweling, groentjie
news, novelty, something new	nuus
newsgroup	nuusgroep
newsreader	nuusleesprogram, nuusleser
next, -to be	aanstaande
Nguni	Nguni
nibble	peusel
nibble off	afknabbel, afknibbel
nice, tasty	smaaklik
nickname	pennaam, alias
niece	niggie
Nigeria	Nigeria
night	nag
night club, night spot	nagklub
night light	bedlamp, bedlampie
night-stand, bedside table	bedkassie
nightgown	aandhemp
nine	nege
nineteen	negentien
ninety	negentig
NNTP (Network News Transfer Protocol)	NNTP (Netwerknuus-oordragprotokol)
no, not	nee
nobility, aristocracy	adel, adeldom, adellikes, adelstand
noble metal	edelmetaal
noble rot, botrytis	edelvrot, botritis
noble variety	edelvariëteit
noble wines	edelwyne
noble, aristocratic	adellik, adellike
nobody, no-one	niemand nie
node	oog
nodes	knope
nodes	nodiums
noise (in a message)	strooi, geraas
noise (in a newsgroup)	gemors, strooi, geraas
noise (on a line)	geraas
noise reduction	geraasvermindering (radio)
non-racial	nierassig
non-racist	nierassisties
non-sexist	nieseksisties
non-sparkling wine	niebruisende wyn, stilwyn
non-turbo charged rallying	nieaangejaagde veldren
nonconformist	andersdenkende
none	geen
norm, standard	standaard
normal	normaal
North America	Noord-Amerika
northern	noordelik
Norway	Noorweë
Norwegian	Noor
Norwegian	Noors
Norwegian	Noorweegs
Norwegian	Noorweër
nose	neus
not at all	glad nie
not do well in life	agteruitboer
not yet	nog niet
notch grafting	kloofenting
note (n)	aantekening
notebook	aantekenboekie, aantekeningboek, aantekeningsboek
notes	aantekeninge, aantekenings
nothing	niks nie
nothing, none	niks
notice	merk
notice	opmerk
noticeable, remarkable	aanmerklik, aanmerklike
notification, notice, advice, counsel	advies
November	November
novice	nuweling
nowhere	nêrens nie
nudity (esp male)	adamsgewaad, adamsklere, adamskostuum, adamspak, adamsvy, adamsvyg
number of	aantal
number, numeral	nommer
numeracy	gesyferdheid
nurse	verpleegster
nurse, sister	suster
nursery school	kleuterskool
nutty	neutagtig
nyala	basterkoedoe
oak	akker, akkerboom
oak	akkerhout, eikehout
oak	eik
oak vats	eikehoutvaatjies
oak vats, large	stukvate
oaks	akkerbome
oat straw	hawerhooi
oath of office	ampseed
oatmeal	hawermout
oatmeal porridge	hawermoutpap
oats	hawer
obedient	gehoorsaam
oblique, slanting	skeef
observable	waarneembaar (...bare)
observation, remark, notice	opmerking
occasion, time	maal
occasion, time, halt, stop	keer
occur	plaasvind
occured	plaasgevind
ocean	oseaan
octagon	aghoek
octagon	agthoek
octagonal	aghoekig, aghoekige
octagonal	agthoekig, agthoekige
October	Oktober
odd, peculiar, strange, typical	eienaardig
odometer	afstandmeter
odometer	odometer
odor, odour, scent, smell	geur
odor, odour, scent, smell	reuk
Oesjaarport	bottled vintage port
of course, natural, naturally	natuurlik
of noble birth	edel
off, down	af
off-dry	halfdroog
off-line	ongekoppel
offal	afval
offer	aanbod
offer (n)	aanbieding
offer, propose, suggest	bied
offered, proffered (a)	aangebode
office (priesthood)	amp
office, bureau	kantoor
office-holder	plaasbekleder
official	amptelik
official	beampte
official	offisieel
official (a)	amptelik, amptelike
official (n)	ampbekleder, ampsbekleder, ampsbekleër, ampsdraer
official (n), bureaucrat	amptenaar
official dress, uniform	ampsgewaad
official duties	ampspligte
official guard	ampswag
official residence	ampswoning
official robes	ampsklede
official seal	ampseël
official secret	ampsgeheim
official transport, company car	ampsmotor
official trip, junket	ampsreis
official visit	ampsbesoek
officialdom, bureaucracy	amptenaredom, amptenary
often	baiekeer, baiemaal
oh	ach
oh	o
OHC	bonokas
oil	olie
oil dip	oliemaat (kyk ook dipstick)
oil dip	olieskep
oil drain plug	olieaftapprop
oil drain plug	oliedreineer(ing(s))prop
oil filter	oliefilter
oil indicator/ guage	oliemeter
old	oud
old testament	ou testament
old-fashioned, out of date	ouderwets
old-fashioned, out of date	oudmodies
old-fashioned, out of date	outyds
oloroso	oloroso, halfsoet sjerrie
omega support	omegastut
omniscience	alwetendheid
omnivore	alleseter
omnivores	alleseters
omnivorous	allesetend, allesetende
on	aan
on foot	te voet
on the contrary	inteendeel
on the left, to the left	links
on the other side	anderkant
on the right, to the right	regs
on top of	boonop
on-line	gekoppel
once again	al weer
one	een
one-and-a-half	anderhalf, anderhalwe
one-armed	afarm
ongoing (- process)	voortgaan(de) (- proses)
onion	ui
only begotten	eniggeborene
only begotten son	eniggebore seun
open	oop
open secret	allemansgeheim
open, open up	oopmaak
opening bowler	aanvangsbouler
opening prayer	aanvangsgebed
opening vent	lugopening
opening vent	ventilasieopening
openly	openlik
opera	opera
operate	opereer
operation, surgical operation	operasie
opinion	mening
opinion	opinie
opinion	visie
opposite	oorkant
optimise	optimeer, optimaliseer
optimising	optimering, optimalisering
option	opsie
optional	opsioneel, bykomstig
or	of
orange	lemoen
Orange	Oranje
orange blossom	lemoenbloeisel
Orange Free State	Oranje-Vrystaat
orange-coloured	oranje
orbit	aardbaan, aardebaan
orbit	planetebaan
orchard	boord
orchestra	orkes
orchid	orgidee
ordain to the priesthood	tot die priesterskap orden
order	bestelling
order	orde
ordinance	ordinansie
ordinarily, usually	gewoonlik
ordination	ordening
organization	organisasie
organize	organiseer
orphan	ouerloos
orphan	weeskind
ostrich	volstruis
other, another, else	ander
others	andere
otherwise	anders
ouch	ai
ours	ons s'n
outboard moter	aanhangmotor
outbox	uitboks
outcome(s)	uitkoms(tes)
outer darkness	buitenste duisternis
outgoing message	uitgaande boodskap
outgrow	ontgroei
outlet	uitlaat
outside, outside of	buite
oven	bakoond
overall, total	totaal
overflowing, superfluous	oortollig
overhaul, overtake, pass	verbysteek
overrider	stamperskoen
oversteer	oorstuur
overwelming	oorweldigend
owe, debt	skuld
own, personal	eie
own, possess, possession	besit
owner	eienaar
owner's manual	eienaarshandleiding
oxidation	oksidasie
oxidised	geoksideer
pack	pakket
pack, package, wrap up	pak
package	pakket (verskillende programme saam)
packet	pakkie
packet vector	pakkievektor
packet, parcel	pakkie
page	bladsy
pain, pine, pine tree	pyn
painful	seer
paint supply tank	verftoevoertenk
painting, picture	skildery
pair off	afpaar
pale dry	bleekdroog
papaya, papaw	papaja
paper money, bill	bankbiljet, banknoot
papery	papieragtig
paradigm	paradigma
paradigm shift	paradigmaskuif, paradigmaverskuiwing
parallel port	parallelle poort
parchment	perkament
parchment paper	perkamentpapier
parchment scroll	perkamentrol
parchment-like	perkamentagtig, perkamentagtige
parchments	perkamente
parent	ouer
parental (- involvement)	ouer- (...betrokkenheid)
parents	ouers
Paris	Parys
parity	pariteit
park	parkeer
parrot	papegaai
parse	ontleed
parsley	pietersielie
part, piece, share	deel
part, piece, share	gedeelte
part, role, rôle	rol
partial name	broknaam
partially, partly	deels
partially, partly	gedeeltelik
participate, take part	deelneem
particular, special	spesiaal
parting words	afskeidswoord
partition (n)	afskeiding
partition (n)	afskorting
partition (v)	afskort
partition wall	afskeidingsmuur
pass away, die, expire	sterf
pass on	aangee
pass the sacrament	uitdeel van die nagmaal
pass, pass by	verbykom
pass, pass by, overtake	verbygaan
pass, spend	deurbring
pass, spend, convey, hand, hand over	oordra
passenger	passasier
passer-by	verbyganger
passwor	dwagwoord, toegangswoord, paswoord (minder algemeen gebruik)
past, last	verlede
paste	plak
pasteurisation	pasteurisasie
pastor	dominee
pastor, preacher	predikant
pasty wine	dikwyn
path	wandelpad
patience	geduld
patient	geduldig
patriarch	patriarg
patriarchal blessing	patriargale seën
patten	stutyster
pattern, stencil, template, templet	patroon
pauper's funeral	armebegrafnis
pavement, sidewalk	trottoir
pavilion	pawiljoen
pawn	pion
pawn, soldier	soldaat
pawns	pionne
pay	betaal
pay attention to	inrig vir
pay attention, watch out for, be careful	oppas
pay off	afbetaal
payment	afbetaling
pea	ertjie
peace	vrede
peaceful, peaceloving	vreedsaam
peach blossom	perskebloeisel
peach brandy	perskebrandewyn, perskelikeur
peach jam	perskekonfyt
peach pip	perskepit
peach tree	perskeboom
peach-coloured	perskekleur
peaches	perskes
peak	piek
peaks	pieke
peanut	aardboontjie
peanut butter	grondboontjiebotter
pear harvest	peeroes
pear tree	peerboom
pear-shaped	peervormig, peervormige
pearl of great price	baie kosbare pêrel
pears	pere
pecan	pekan
pecan nut	pekanneut
pecan tree	pekanboom
pectin	pektien, pektine
pedagogical	pedagogies, pedagogiese
pedagogical theory	pedagogiekteorie
pedagogue	pedagoog
pedagogues	pedagoë
pedagogy	pedagogie, pedagogiek
pedals	pedale
pedant	pedant
pedantic	pedanties, pedantiese
pedants	pedante
pederast	pederas
pederastie	pederastie
pederasts	pederaste
pediatrical	pediatries, pediatriese
pediatrist	pediater
pediatrists	pediaters
pediatry	pediatrie
pedicure	pedikuur
pediment	pediment
pedofilia	pedofilie
peel (v)	afskil
peel off	afdop
Peiping, Peking	Peking
pejorative (a)	pejoratief, pejoratiewe
pekinese	pekinees (b.nw, s.nw), pekinese (b.nw)
pelagic	pelagies
pelican	pelikaan
pelicans	pelikane
pellagra	pellagra
pemmican	pemmikaan, biltong (meer plaaslik)
pen	pen
pen name, nom de plume	pennaam
pence	pennies
penetrate	penetreer
penetration	penetrasie
penguin	pikkewyn
penguin egg	pikkewyneier
penguins	pikkewyne
penicillin	penisilien, penisiline
peninsula	skiereiland
penis	penis
penis envy	penisafguns
penitence	penitensie
penitences	penitensies
penknife	penmes
pennant	penant
pennants	penante
penniless	platsak
penny	pennie
penology	penologie
penpal	penmaat
pens	penne
pension	pensioen
pension fund	pensioenfonds
pension, retirement	pensioen
pensionable age	aftree-ouderdom
pensionable age	pensioenleeftyd
pensioner	pensioentrekker, pensionaris
pensions	pensioene
pentagon	pentagon, vyfhoek
pentagram, pentagram, vyfpuntster
pentateuch	pentateug
pentathlon	pentatlon
pentecost	pinkster, pinksterdag, pinksterfees
pentecostal theology	pinksterteologie
pepper shaker	peperpot
pepper tree	peperboom
peppermint	peperment, 
peppermint liqueur	pepermentlikeur
peptic	pepties, peptiese
per	per
perceive	persipieer
percent	persent
percent, percentage	persent
percentage	persentasie
percentage	persentasie (%)
percentage symbol	persentteken
percentages	persentasies
perception	persepsie
perceptions	persepsies
perceptual	perseptueel, perseptuele
percolate	perkoleer
percolation	perkolasie, perkolering
percolator	perkolator
percolators	perkolators
percussion	perkussie
percussion cap	perkussiedoppie
percussions	perkussies
perennial	meerjarig
perfect	perfek
perfect (v)	perfeksioneer
perfection	perfeksie
perfection	volmaaktheid
perfectionism	perfeksionisme
perfectionist (a)	perfeksionisties, perfeksionistiese
perfectionist (n)	perfeksionis
perfectionists	perfeksioniste
perforate	perforeer
perforation	perforasie
perforations	perforasies
perforator (machine)	perforeerapparaat, perforeermasjien
performance	prestasie
performance	werkverrigting
performance assessment	prestasieassessering
performer	arties
perfume	parfuum
pergola	pergola
pergolas	pergolas
perifery	periferie
perimeter	perimeter
perimeters	perimeters
perineal	perineaal, perineale
perineum	perineum
period	periode
period (US	)punt (.)
periodical, magazine, revue	tydskrift
periodically	periodiek, periodieke
periodisation	periodisering
periodise	periodiseer
periods	periodes
peripatetic	peripateties, peripatetiese
peripheral	periferies, periferiese
peripheries	periferieë
periscope	periskoop
periscopes	periskope
peristalsis	peristaltiek
perjury	meineed
permanence	permanensie
permanent	permanent, permanente
permeability	permeabiliteit
permissions	permissie
permissions	permissies
permissive	permissief, permissiewe
permissivity	permissiwiteit
permit (v)	permitteer
permit, license (n)	permit
permits, licenses (n)	permitte
permutation	permutasie
permutations	permutasies
peroxide	perokside, peroksied
perpetuate	perpetueer
perplexity	perpleksiteit
perse	presses
persecute	vervolg
persia	persië
Persian	Persies
persian	persies, persiese
Persian Gulf	Persiese Golf
persians	persiërs
personal	persoonlik, persoonlike
personal characteristics	persoonlikheidseienskappe
personal development	persoonlikheidsontwikkeling
personal growth	persoonlikheidsgroei
personal image	persoonsbeeld
personal law	personereg
personal priesthood interview	persoonlike priesterskaponderhoud
personal tax	persoonsbelasting
personal transport	personevervoer
personalities	personaliteite
personalities	persoonlikhede
personality	personaliteit
personality	persoonlikheid
personality deviation	persoonlikheidstoornisse
personality test	persoonlikheidstoets
personification	personifikasie
personifications	personifikasies
personify	personifieer
personnel administration, staff administration	personeeladministrasie
personnel development policy	personeelontwikkelingsbeleid
personnel matters	personeelaangeleenthede
personnel selection	personeelkeuring
personnel, staff	personeel
persons	persone
perspective	perspektief
perspective drawing	perspektieftekening
perspectives	perspektiewe
perspiration, sweat	perspirasie
perspire	perspireer
pertinence	pertinensie
pertinent	pertinent, pertinente
peru	peru
peruvian (a)	peruaans, peruaanse
peruvian (n)	peruaan
peruvians	peruane
perverse	pervers, perverse
perversion	perversie
perversity	perversiteit
peseta	peseta
pesetas	pesetas	
peso	peso	
pesos	peso's
pessimism	pessimisme
pessimist	pessimis
pessimistic	pessimisties, pessimistiese
pessimists	pessimiste
pest control	plaebestryding
pest, plague	pes
peste, pests, plagues
pestilence	pestilensie
pet shop	arkmark
petition (n)	petisie
petitioner	petisionaris
petitioners	petisionarisse
petitions	petisies
petrarcan	petrarcaans, petrarcaanse
petrification	petrifikasie
petrify	petrifieer, petrifiseer
petrochemical	petrochemiese
petrol engine	petrolmotor
petrol flap	petroldeurtjie
petrol flap	petrolflap
petrol flap	petrolklap
petrol pump hose	petrolpompslang
petrol, gasoline (US)	petrol
petrol-driven	petrolaangedrewe
petroleum jelly	petroleumjellie
pettion (v)	petisioneer
peyote	pejote
pharmacist	apteker
pharmacy	apteek
phase(s)	fase(s)
phase, stage	fase
phenolic	fenolies
Philippine	Filippyns
Philistine	Filistyn
phillippian	philippenser
phone line	telefoonlyn
photograph	foto
phylloxera	filloksera
physical death	fisiese dood
pianist	pianis, pianospeler
pianists	pianiste
piano	klavier
piano accompaniment	pianobegeleiding
piano bench	pianostoeltjie
piano lesson	pianoles
piano music	pianomusiek
pianos	piano's
piastre	piaster
picaresque	pikaresk, pikareske
piccolo	piccolo
pick	pluk
pick (n)	pik
picnic	piekniek hou
picnic basket	piekniekmandjie
picnics	pieknieks
pictogram	piktogram
picturesque	skilderagtig
pie, tart	tert
piece of furniture	meubel
piety	piëteit
pig	vark
pigment	pigment
pigmentation	pigmentasie
pigmentation	pigmentselle
pigments	pigmente
pigmies	pigmeë
pigmy	pigmee
pikeman	piekenier
pilgrim	bedevaarder, bedevaartganger
pilgrim	pelgrim
pilgrim to mecca	mekkaganger
pilgrim's dress	pelgrimsgewaad, pelgrimskleed
pilgrimage	bedevaart
pilgrimage	pelgrimsreis, pelgrimstog
pilgrims	pelgrims
pill-box	pildosie, pilledosie
pillar saint	pilaarheilige
pillar, column	pilaar
pillars, columns	pilare
pillion footrest	agtersaalvoetrus
pillow	bedkussing
pills	pille
pilot	piloot, loods
pilot flame	aansteekvlam
pilots	pilote, loodse	
pimple	puisie
pinch off	afknyp
pine, pine tree	masboom
pine-apple, pineapple	pynappel
